Season,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ
2015,"2B",5519,4858,43407.2,8783,13800,353,227,125,2936,1231,1787,189,,,,,,0.98460935,
2016,"2B",5588,4856,43306.1,8569,13287,389,252,134,2912,1134,1852,188,,,,,,0.98251292,
2017,"2B",5630,4860,43257,8395,12662,381,251,129,3027,1133,1951,169,,,,,,0.98222782,
2018,"2B",5680,4862,43489,8176,12172,380,239,140,2740,991,1823,201,,,,,,0.98166731,
2019,"2B",5773,4858,43423.1,8026,11867,366,225,135,2743,1012,1783,189,,,,,,0.98193396,
2020,"2B",2138,1796,15468.2,2693,4178,144,87,57,938,350,619,52,,,,,,0.97947256,
2021,"2B",5657,4858,42615,7847,11486,361,219,140,2599,932,1724,152,,,,,,0.98166954,
2022,"2B",5650,4860,43075.1,8002,11813,344,184,159,2645,958,1766,127,,,,,,0.98293566,
2023,"2B",5827,4860,43087.1,7914,12007,291,175,116,2771,1012,1831,132,,,,,,0.98560261,
2024,"2B",5679,4858,43116.1,7534,11916,299,192,106,2568,958,1671,117,,,,,,0.98485999,